player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds
D.J. Chark,JAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,72.75,6.5,993.35,1.0,0.0,10.85
D.J. Moore,CAR,WR,1.5,0.0,0.0,0.0,0.0,0.0,83.4,4.85,1216.45,7.2,0.05,73.55
D.K. Metcalf,SEA,WR,1.5,0.0,0.0,0.0,0.0,0.0,66.1,7.3,1002.9,1.1,0.0,6.5
DK Metcalf,SEA,WR,3.0,0.0,0.0,0.0,0.0,0.0,66.0,8.0,1055.0,2.0,0.0,10.0
DaeSean Hamilton,DEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.7,130.1,0.0,0.0,0.0
Dak Prescott,DAL,QB,3.15,580.45,381.45,12.55,29.6,4628.45,0.0,0.0,0.0,64.7,4.35,277.7
Dallas Goedert,PHI,TE,0.75,0.0,0.0,0.0,0.0,0.0,52.8,4.75,547.3,0.0,0.0,0.0
Dalton Keene,NE,TE,1.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,294.0,0.0,0.0,0.0
Dalton Schultz,DAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,16.05,0.75,177.65,0.0,0.0,0.0
Dalvin Cook,MIN,RB,2.85,0.0,0.0,0.0,0.0,0.0,55.55,1.45,498.7,268.4,10.4,1181.15
Damien Harris,NE,RB,1.5,0.0,0.0,0.0,0.0,0.0,7.25,0.05,63.15,119.55,3.15,407.95
Damiere Byrd,NE,WR,0.0,0.0,0.0,0.0,0.0,0.0,23.5,2.0,297.3,0.0,0.0,0.0
Damion Ratley,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.8,130.4,0.0,0.0,0.0
Dan Arnold,ARI,TE,0.0,0.0,0.0,0.0,0.0,0.0,22.3,1.9,272.4,0.0,0.0,0.0
Daniel Jones,NYG,QB,10.95,574.1,362.1,17.0,25.0,3961.7,0.0,0.0,0.0,56.7,2.75,318.0
Danny Amendola,DET,WR,0.75,0.0,0.0,0.0,0.0,0.0,66.15,3.55,703.95,0.65,0.0,0.0
Dante Pettis,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,70.6,0.0,0.0,0.0
Darius Slayton,NYG,WR,0.75,0.0,0.0,0.0,0.0,0.0,52.85,6.4,799.35,0.0,0.0,0.0
Darrel Williams,KC,RB,1.65,0.0,0.0,0.0,0.0,0.0,13.55,0.95,124.65,97.55,4.65,325.75
