"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"64","Tyler Higbee","LA","te","9","DAL","12.1","0","0","0","0","0","0","0","0","0","0","6.3176","4.8175","48.6963","0.3695","0.0499","0.025","0.0127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","Hunter Henry","LAC","te","10","@CIN","11.9","0","0","0","0","0","0","0","0","0","0","6.0055","4.306","53.3439","0.3225","0.0368","0.0184","0.0137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","David Montgomery","CHI","rb","11","@DET","10.9","0","0","0","0","0","0","0","13.835","47.4784","0.3919","2.3351","1.8544","13.4457","0.0739","0.1384","0.0692","0.0094","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","Russell Wilson","SEA","qb","6","@ATL","20.4","0","20.1283","31.6834","252.9043","1.7219","0.4633","3.0313","4.5111","25.297","0.0813","0","0","0","0","0.5239","0.2619","0.0603","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","Jonathan Taylor","IND","rb","7","@JAX","10.8","0","0","0","0","0","0","0","12.582","53.9664","0.4716","1.4634","1.1671","8.5532","0.0443","0.1208","0.0604","0.0071","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","James White","NE","rb","6","MIA","10.6","0","0","0","0","0","0","0","3.8605","14.7115","0.173","5.178","3.9628","30.5233","0.1734","0.062","0.031","0.0085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","Stefon Diggs","BUF","wr","11","NYJ","12.8","0","0","0","0","0","0","0","0.2388","1.4297","0.0097","6.9062","4.5874","57.0251","0.3295","0.066","0.033","0.0105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","Joe Burrow","CIN","qb","9","LAC","19.7","0","20.5937","32.169","245.7518","1.834","0.9202","3.2598","3.4163","19.2444","0.1254","0","0","0","0","0.5265","0.2632","0.0507","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","Jarvis Landry","CLV","wr","9","@BLT","12.5","0","0","0","0","0","0","0","0","0","0","7.4337","4.6844","60.1464","0.2287","0.0714","0.0357","0.007","11.8138","0.0094","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","D.J. Chark Jr.","JAX","wr","7","IND","12.5","0","0","0","0","0","0","0","0.1236","0.8468","0.0052","6.9598","4.2253","58.7212","0.3205","0.0473","0.0237","0.0053","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","Cam Akers","LA","rb","9","DAL","10.1","0","0","0","0","0","0","0","13.1666","52.175","0.395","1.4611","1.1834","8.33","0.05","0.1261","0.063","0.0114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","DeVante Parker","MIA","wr","11","@NE","12.4","0","0","0","0","0","0","0","0","0","0","6.8606","4.1862","59.924","0.3004","0.0312","0.0156","0.0073","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","Derrius Guice","WAS","rb","8","PHI","10","0","0","0","0","0","0","0","8.4571","35.6753","0.3017","2.6426","2.1423","17.5101","0.1026","0.0889","0.0445","0.0082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","Drew Brees","NO","qb","6","TB","19.5","0","26.289","37.4039","291.6158","1.6478","0.7219","1.5251","1.153","0.8815","0.0894","0","0","0","0","0.293","0.1465","0.0353","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
