player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player,percent_average_position,percent_average_overall,percent_typical_position,percent_typical_overall,percent_median_position,percent_median_overall,positional_value,pos_value_remaining
Saquon Barkley,NYG,RB,2.25,0.0,0.0,0.0,0.0,0.0,72.65,2.85,583.7,270.65,9.5,1237.55,288.05,11.0,2.0,True,2.103771100847782,1.9531492932558017,1.8903399396246228,1.8536036036036037,2.230352303523035,2.1692145492883497,0.02768119869536555,0.9402718436898783
Sony Michel,NE,RB,1.7,0.0,0.0,0.0,0.0,0.0,9.6,0.15,69.5,165.6,4.85,667.0,105.05,172.0,45.0,True,0.7672319185698994,0.712301104865551,0.6893949337183357,0.675997425997426,0.8133952768099109,0.7910987273138036,0.010095156823288149,0.22917303319821847
Stefon Diggs,BUF,WR,0.75,0.0,0.0,0.0,0.0,0.0,68.65,6.55,990.8,9.3,0.05,79.0,179.4,77.0,24.0,True,1.2787240700204783,1.216438060094049,1.1773198582491142,1.1544401544401544,1.312026913372582,1.3510053467881615,0.012787240700204783,0.6533595730743763
Sterling Shepard,NYG,WR,0.75,0.0,0.0,0.0,0.0,0.0,72.75,4.35,846.6,4.65,0.0,43.25,149.96,107.0,42.0,True,1.068882171350451,1.0168174553606666,0.9841186507415672,0.964993564993565,1.0967199327165684,1.1293019052639506,0.01068882171350451,0.4424798693620138
Steven Sims,WAS,WR,0.75,0.0,0.0,0.0,0.0,0.0,50.95,5.2,535.6,10.0,0.75,81.45,121.38,148.0,63.0,True,0.8651701651008118,0.8230281590535989,0.7965612285076782,0.781081081081081,0.8877024902183054,0.9140748550342644,0.008651701651008118,0.24239875520417153
T.J. Hockenson,DET,TE,0.75,0.0,0.0,0.0,0.0,0.0,53.7,3.2,619.15,0.0,0.0,0.0,106.46,167.0,20.0,True,0.9836232185341742,0.7218617384482299,0.6986481165507284,0.685070785070785,1.0018350350538747,0.8017169967618042,0.024590580463354356,0.3736516295936986
T.Y. Hilton,IND,WR,0.75,0.0,0.0,0.0,0.0,0.0,71.2,6.4,1073.75,0.0,0.0,0.0,179.88,75.0,22.0,True,1.2821454053248806,1.2196927438668759,1.180469877936737,1.1575289575289573,1.315537353274582,1.3546200768130128,0.012821454053248808,0.6789504483731195
Tarik Cohen,CHI,RB,1.7,0.0,0.0,0.0,0.0,0.0,71.05,3.35,540.35,97.9,2.0,352.4,153.5,102.0,27.0,True,1.1210861446975684,1.040820748185265,1.007350045937787,0.9877734877734877,1.1885404568331397,1.1559605391972285,0.014751133482862739,0.453711231426545
Taysom Hill,NO,QB,0.06666666666666668,11.25,6.25,0.05,0.7,66.5,21.0,2.1,216.8,5.666666666666668,0.6666666666666666,57.2,59.78,258.0,35.0,True,0.26598649822634884,0.4053437415408152,0.3923087019293871,0.3846846846846847,0.23657445882306383,0.4501845018450184,0.006649662455658721,0.01491335305169228
Teddy Bridgewate,CAR,QB,0.25,582.65,370.9,13.8,22.65,4011.65,0.0,0.0,0.0,21.1,0.45,61.0,245.57,32.0,24.0,True,1.0926447703152307,1.665109779360622,1.6115631972699829,1.58024453024453,0.9718231825557007,1.8493109420890124,0.02731611925788076,0.233620284028908
Tee Higgins,CIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,36.2,2.8,478.2,0.0,0.0,0.0,82.72,204.0,86.0,True,0.5896101174587177,0.5608905035171668,0.5428533928337053,0.5323037323037323,0.6049658097780377,0.6229384742827019,0.005896101174587177,0.07863511530256351
